text_id,text_type,sent_count,word_count,avg_sent_length,noun_ratio,verb_ratio,adj_ratio,max_consecutive_nouns,consecutive_nouns_groups,three_plus_consecutive_nouns,max_syntactic_depth,flesch_kincaid_grade,participles_count,gerunds_count,passive_constructions,modal_constructions,pointer_words,bureaucratic_phrases,complex_sentences,complex_sentences_ratio,avg_clause_length
9,original,10,106,10.6,43.39622641509434,16.037735849056602,10.377358490566039,3,30,3,7,12.136415094339625,2,0,3,8,1,1,1,0.1,7.2
9,paraphrased,14,165,11.785714285714286,44.24242424242424,10.303030303030303,7.878787878787878,3,53,2,5,10.259220779220783,1,0,1,3,0,1,1,0.07142857142857142,7.428571428571429
10,original,14,227,16.214285714285715,41.85022026431718,11.013215859030836,7.929515418502203,4,68,7,8,15.200843297671494,6,0,2,5,7,1,1,0.07142857142857142,5.82051282051282
10,paraphrased,34,232,6.823529411764706,29.310344827586203,14.655172413793101,9.913793103448276,2,56,0,6,6.106247464503046,1,1,2,7,4,0,1,0.029411764705882353,4.468085106382978
11,original,12,94,7.833333333333333,22.340425531914892,10.638297872340425,4.25531914893617,3,13,2,7,1.6415602836879444,3,0,0,2,1,1,1,0.08333333333333333,5.166666666666667
11,paraphrased,15,102,6.8,39.21568627450981,16.666666666666664,6.862745098039216,3,27,2,7,8.727647058823528,1,0,2,5,1,1,1,0.06666666666666667,4.363636363636363
12,original,16,164,10.25,31.70731707317073,12.804878048780488,17.682926829268293,2,47,0,6,12.68621951219512,7,0,10,2,0,2,1,0.0625,6.037037037037037
12,paraphrased,13,137,10.538461538461538,24.817518248175183,7.2992700729927,9.48905109489051,2,31,0,5,6.540544637843908,4,0,0,1,0,0,1,0.07692307692307693,6.380952380952381
13,original,20,148,7.4,35.810810810810814,16.216216216216218,9.45945945945946,3,41,2,6,8.372162162162162,5,0,7,1,1,1,1,0.05,6.291666666666667
13,paraphrased,30,168,5.6,34.523809523809526,14.285714285714285,8.928571428571429,3,48,1,7,5.260000000000002,2,0,5,1,1,1,1,0.03333333333333333,4.571428571428571
14,original,10,215,21.5,50.697674418604656,10.232558139534884,9.767441860465116,4,72,12,10,15.90604651162791,6,0,4,4,6,2,1,0.1,12.0
14,paraphrased,17,182,10.705882352941176,46.7032967032967,12.087912087912088,6.593406593406594,4,51,9,7,9.19371040723982,2,0,1,1,2,1,1,0.058823529411764705,7.043478260869565
15,original,11,205,18.636363636363637,46.82926829268293,10.24390243902439,10.24390243902439,4,61,4,8,19.37891352549889,2,1,5,6,5,5,1,0.09090909090909091,9.714285714285714
15,paraphrased,17,194,11.411764705882353,38.144329896907216,16.49484536082474,8.24742268041237,3,54,2,8,13.75711946634324,0,0,8,5,4,1,1,0.058823529411764705,6.379310344827586
16,original,10,182,18.2,37.362637362637365,16.483516483516482,4.945054945054945,4,48,6,9,15.894615384615381,5,0,7,8,1,1,1,0.1,7.608695652173913
16,paraphrased,15,164,10.933333333333334,37.80487804878049,12.804878048780488,6.097560975609756,4,46,4,7,8.264471544715445,1,0,5,1,0,0,1,0.06666666666666667,5.62962962962963
17,original,11,92,8.363636363636363,43.47826086956522,8.695652173913043,3.260869565217391,5,21,4,11,5.848339920948614,4,0,0,0,11,1,1,0.09090909090909091,6.466666666666667
17,paraphrased,5,67,13.4,43.28358208955223,7.462686567164178,7.462686567164178,5,17,3,9,9.91597014925373,1,0,0,1,6,0,1,0.2,8.0
18,original,18,86,4.777777777777778,43.02325581395349,8.13953488372093,0.0,4,27,2,7,1.1570284237726085,3,0,2,2,0,1,1,0.05555555555555555,4.2
18,paraphrased,6,88,14.666666666666666,36.36363636363637,11.363636363636363,9.090909090909092,4,20,3,7,10.356969696969696,4,0,3,2,1,0,1,0.16666666666666666,8.4
19,original,11,150,13.636363636363637,37.333333333333336,17.333333333333336,9.333333333333334,3,38,4,6,16.260181818181817,3,0,4,5,1,1,1,0.09090909090909091,7.5
19,paraphrased,10,149,14.9,42.281879194630875,16.778523489932887,7.38255033557047,4,39,5,8,15.932483221476513,3,0,4,2,0,1,1,0.1,7.7894736842105265
20,original,10,183,18.3,33.87978142076503,15.846994535519126,13.114754098360656,3,51,1,10,15.363278688524591,5,3,2,13,0,1,1,0.1,11.5
20,paraphrased,1,112,112.0,37.5,9.821428571428571,10.714285714285714,2,37,0,8,58.63499999999999,0,0,1,2,0,0,1,1.0,35.666666666666664
21,original,14,164,11.714285714285714,36.58536585365854,15.24390243902439,15.853658536585366,3,50,1,7,15.620801393728222,1,0,4,4,0,1,1,0.07142857142857142,6.6
21,paraphrased,27,168,6.222222222222222,33.92857142857143,16.666666666666664,12.5,3,48,1,6,9.071111111111115,1,0,1,3,0,1,1,0.037037037037037035,4.84375
22,original,10,171,17.1,41.52046783625731,8.187134502923977,12.280701754385964,6,45,6,13,17.816140350877195,5,0,8,0,8,2,1,0.1,12.428571428571429
22,paraphrased,17,174,10.235294117647058,43.103448275862064,6.896551724137931,7.471264367816093,6,51,4,8,11.203509127789047,4,0,3,0,1,0,1,0.058823529411764705,7.173913043478261
23,original,18,112,6.222222222222222,34.82142857142857,13.392857142857142,8.035714285714286,4,32,3,7,6.196111111111112,6,0,3,0,3,1,1,0.05555555555555555,5.181818181818182
23,paraphrased,17,122,7.176470588235294,39.34426229508197,12.295081967213115,8.19672131147541,4,39,2,8,6.588399228543878,3,0,6,0,3,0,1,0.058823529411764705,5.238095238095238
24,original,18,214,11.88888888888889,37.38317757009346,16.822429906542055,8.411214953271028,3,60,4,7,12.649771547248182,7,0,7,4,1,1,1,0.05555555555555555,6.057142857142857
24,paraphrased,23,238,10.347826086956522,39.075630252100844,12.605042016806722,6.722689075630252,3,74,3,6,9.98391304347826,3,0,7,2,0,1,1,0.043478260869565216,5.021739130434782
25,original,13,220,16.923076923076923,31.818181818181817,13.636363636363635,5.909090909090909,2,58,0,9,10.282447552447554,4,4,6,4,1,2,1,0.07692307692307693,9.208333333333334
25,paraphrased,20,190,9.5,38.94736842105263,11.578947368421053,7.894736842105263,3,60,1,7,4.589473684210528,1,0,3,1,1,1,1,0.05,7.0
26,original,10,71,7.1,45.07042253521127,11.267605633802818,8.450704225352112,3,27,1,6,12.805070422535213,4,0,0,0,2,1,1,0.1,5.071428571428571
26,paraphrased,8,66,8.25,42.42424242424242,15.151515151515152,7.575757575757576,2,26,0,6,11.316818181818181,4,0,0,1,2,1,1,0.125,5.0
27,original,20,138,6.9,33.33333333333333,13.768115942028986,11.594202898550725,3,39,1,6,8.86,0,0,5,5,3,2,1,0.05,4.928571428571429
27,paraphrased,17,139,8.176470588235293,28.776978417266186,12.949640287769784,9.352517985611511,2,36,0,5,7.292479898434191,0,0,4,1,3,1,1,0.058823529411764705,4.678571428571429
28,original,13,164,12.615384615384615,35.97560975609756,15.24390243902439,10.365853658536585,3,43,2,7,8.644521575984992,5,0,2,3,1,0,1,0.07692307692307693,8.631578947368421
28,paraphrased,21,220,10.476190476190476,38.63636363636363,10.0,10.0,4,61,4,7,7.975367965367965,2,0,1,1,3,1,1,0.047619047619047616,6.633333333333334
29,original,10,119,11.9,36.134453781512605,17.647058823529413,9.243697478991598,3,34,2,6,12.877647058823527,2,0,1,4,1,0,1,0.1,5.619047619047619
29,paraphrased,19,158,8.31578947368421,39.87341772151899,12.658227848101266,10.759493670886076,2,55,0,6,9.88688207861426,1,0,1,3,1,2,1,0.05263157894736842,4.75
30,original,11,115,10.454545454545455,32.17391304347826,13.91304347826087,7.82608695652174,3,29,1,6,7.4598814229249015,3,1,2,3,2,1,1,0.09090909090909091,6.105263157894737
30,paraphrased,12,119,9.916666666666666,31.092436974789916,15.966386554621847,4.201680672268908,2,31,0,6,5.674215686274508,3,0,3,1,1,0,1,0.08333333333333333,5.6
31,original,5,119,23.8,44.537815126050425,11.76470588235294,14.285714285714285,2,47,0,8,18.19235294117647,3,2,0,3,0,0,1,0.2,8.0
31,paraphrased,16,132,8.25,34.84848484848485,15.909090909090908,8.333333333333332,2,41,0,6,6.416818181818183,0,2,0,1,2,0,1,0.0625,4.6923076923076925
32,original,12,128,10.666666666666666,39.84375,13.28125,5.46875,4,32,6,6,7.133958333333332,3,2,3,2,3,0,1,0.08333333333333333,7.5625
32,paraphrased,14,123,8.785714285714286,37.39837398373984,13.008130081300814,5.691056910569105,3,35,1,6,5.534564459930316,0,0,3,1,2,0,1,0.07142857142857142,5.894736842105263
33,original,6,126,21.0,42.06349206349206,11.11111111111111,7.936507936507936,3,36,3,8,13.243333333333332,4,1,2,6,0,0,1,0.16666666666666666,12.1
33,paraphrased,12,107,8.916666666666666,42.05607476635514,7.476635514018691,12.149532710280374,3,31,1,8,7.630950155763241,1,0,2,1,2,0,1,0.08333333333333333,6.5625
34,original,13,180,13.846153846153847,37.22222222222222,11.666666666666666,10.555555555555555,3,51,2,6,13.919743589743593,5,1,3,1,7,1,1,0.07692307692307693,8.318181818181818
34,paraphrased,13,164,12.615384615384615,38.41463414634146,12.804878048780488,8.536585365853659,5,48,1,5,12.844521575984992,4,0,5,4,3,1,1,0.07692307692307693,9.055555555555555
35,original,10,91,9.1,40.65934065934066,8.791208791208792,12.087912087912088,3,31,1,7,12.498461538461537,2,0,2,2,4,2,1,0.1,6.357142857142857
35,paraphrased,4,93,23.25,32.25806451612903,13.978494623655912,11.827956989247312,2,25,0,9,14.370483870967742,1,0,1,2,0,0,1,0.25,17.4
36,original,16,166,10.375,42.77108433734939,15.66265060240964,12.048192771084338,3,52,2,6,13.785451807228917,6,0,5,8,6,0,1,0.0625,7.260869565217392
36,paraphrased,12,127,10.583333333333334,33.85826771653544,18.89763779527559,11.023622047244094,3,36,1,10,11.46229658792651,1,1,6,3,2,1,1,0.08333333333333333,6.0476190476190474
37,original,19,227,11.947368421052632,32.158590308370044,18.502202643171806,6.607929515418502,6,53,5,8,9.551966148852308,15,0,9,10,3,0,1,0.05263157894736842,6.870967741935484
37,paraphrased,21,202,9.619047619047619,34.15841584158416,16.33663366336634,7.425742574257425,3,55,4,6,7.682890146157476,2,0,5,6,17,0,1,0.047619047619047616,5.84375
38,original,15,232,15.466666666666667,49.137931034482754,8.620689655172415,7.327586206896551,4,70,8,7,11.839885057471264,7,0,3,2,1,1,1,0.06666666666666667,9.583333333333334
38,paraphrased,4,158,39.5,39.24050632911392,9.49367088607595,9.49367088607595,3,45,3,8,20.69417721518987,2,0,2,0,0,1,1,0.25,18.875
39,original,15,147,9.8,31.292517006802722,19.727891156462583,6.802721088435375,3,38,2,7,9.138571428571428,2,0,6,2,1,2,1,0.06666666666666667,5.607142857142857
39,paraphrased,21,152,7.238095238095238,28.947368421052634,17.763157894736842,5.921052631578947,3,34,3,6,6.155363408521307,0,1,5,2,1,2,1,0.047619047619047616,4.931034482758621
40,original,10,67,6.7,52.23880597014925,20.8955223880597,5.970149253731343,3,17,8,6,8.195820895522392,3,0,4,2,0,0,1,0.1,5.0
40,paraphrased,10,79,7.9,44.303797468354425,20.253164556962027,6.329113924050633,3,19,7,5,7.818227848101266,4,0,6,2,1,0,1,0.1,4.928571428571429
41,original,18,146,8.11111111111111,39.726027397260275,10.95890410958904,8.904109589041095,4,42,4,8,7.624459665144595,5,0,2,1,5,0,1,0.05555555555555555,6.863636363636363
41,paraphrased,15,154,10.266666666666667,40.909090909090914,11.688311688311687,6.493506493506493,4,48,3,7,7.925151515151516,4,0,2,1,2,0,1,0.06666666666666667,7.473684210526316
42,original,13,98,7.538461538461538,32.6530612244898,20.408163265306122,10.204081632653061,3,23,2,7,13.893516483516485,1,0,2,2,2,2,1,0.07692307692307693,4.666666666666667
42,paraphrased,7,87,12.428571428571429,34.48275862068966,19.54022988505747,6.896551724137931,3,23,1,6,16.307044334975373,0,0,0,1,0,1,1,0.14285714285714285,6.3076923076923075
43,original,11,112,10.181818181818182,39.285714285714285,17.857142857142858,11.607142857142858,2,37,0,6,13.05090909090909,4,1,3,5,8,1,1,0.09090909090909091,8.0
43,paraphrased,14,114,8.142857142857142,32.45614035087719,15.789473684210526,7.894736842105263,2,30,0,5,8.007744360902254,1,0,3,1,2,0,1,0.07142857142857142,6.352941176470588
44,original,17,174,10.235294117647058,35.63218390804598,17.24137931034483,14.367816091954023,2,54,0,5,13.086267748478704,10,0,7,4,1,1,1,0.058823529411764705,7.25
44,paraphrased,10,124,12.4,29.838709677419356,15.32258064516129,12.096774193548388,2,31,0,8,7.206774193548387,5,0,0,0,1,0,1,0.1,9.333333333333334
45,original,10,93,9.3,35.483870967741936,17.20430107526882,13.978494623655912,3,29,1,5,13.266451612903229,3,0,2,3,0,1,1,0.1,7.75
45,paraphrased,10,91,9.1,32.967032967032964,18.681318681318682,14.285714285714285,2,28,0,5,12.96,3,0,2,3,0,1,1,0.1,7.5
46,original,12,89,7.416666666666667,31.46067415730337,20.224719101123593,3.3707865168539324,2,23,0,6,5.7677715355805255,4,1,1,1,2,2,1,0.08333333333333333,4.944444444444445
46,paraphrased,10,104,10.4,30.76923076923077,12.5,4.807692307692308,2,24,0,6,5.359999999999999,3,0,1,0,0,0,1,0.1,7.384615384615385
47,original,10,105,10.5,35.23809523809524,12.380952380952381,11.428571428571429,3,31,1,6,11.66,0,0,4,5,3,1,1,0.1,6.176470588235294
47,paraphrased,14,167,11.928571428571429,32.93413173652694,10.179640718562874,10.778443113772456,2,49,0,6,8.632968349016256,0,0,3,1,2,1,1,0.07142857142857142,6.3478260869565215
48,original,13,168,12.923076923076923,41.66666666666667,14.880952380952381,9.523809523809524,4,49,3,6,12.971538461538461,2,1,6,1,1,2,1,0.07692307692307693,8.0
48,paraphrased,14,154,11.0,48.05194805194805,13.636363636363635,4.545454545454546,4,48,3,6,10.146363636363638,1,0,1,2,0,1,1,0.07142857142857142,7.095238095238095
49,original,12,172,14.333333333333334,45.348837209302324,14.534883720930234,4.069767441860465,3,57,5,9,14.139457364341087,4,0,8,4,0,1,1,0.08333333333333333,9.333333333333334
49,paraphrased,18,193,10.722222222222221,48.704663212435236,15.025906735751295,5.699481865284974,3,70,3,8,8.26852043753598,5,0,3,1,0,0,1,0.05555555555555555,7.52
50,original,14,142,10.142857142857142,37.32394366197183,9.15492957746479,15.492957746478872,4,39,3,6,7.819456740442657,3,0,1,4,1,2,1,0.07142857142857142,6.894736842105263
50,paraphrased,14,149,10.642857142857142,40.26845637583892,11.409395973154362,10.06711409395973,4,39,4,6,6.531428571428574,3,0,2,3,0,1,1,0.07142857142857142,6.333333333333333
51,original,9,128,14.222222222222221,40.625,16.40625,8.59375,3,44,1,7,13.17736111111111,2,0,1,4,1,1,1,0.1111111111111111,6.0476190476190474
51,paraphrased,11,133,12.090909090909092,32.33082706766917,16.541353383458645,7.518796992481203,2,39,0,8,11.108086124401915,2,0,2,5,0,0,1,0.09090909090909091,5.25
52,original,21,231,11.0,38.961038961038966,10.38961038961039,9.523809523809524,5,62,5,7,6.63727272727273,4,0,7,7,10,0,1,0.047619047619047616,6.818181818181818
52,paraphrased,20,273,13.65,32.234432234432234,5.86080586080586,9.89010989010989,4,67,3,6,4.127307692307696,8,0,2,2,4,1,1,0.05,8.037037037037036
